PPM_6,mag_6,PPM_35,mag_35,PPM_78,mag_78,PPM_97,mag_97
10.7447,290993,10.7374,98516.7,10.7374,54352.2,10.7358,19131.7
10.7382,291989,10.7309,98346.5,10.7309,55251.7,10.7293,20570.3
10.7317,289337,10.7244,99662.8,10.7244,55857.1,10.7228,19030.4
10.7252,291404,10.7179,97854.9,10.7179,55814.1,10.7163,18011.8
10.7187,289068,10.7114,98018.1,10.7114,52812.2,10.7098,19720.3
10.7122,289374,10.7049,97218.3,10.7049,55010.5,10.7033,21073.8
10.7057,288873,10.6984,99874.9,10.6984,54257.4,10.6967,17864.6
10.6992,287766,10.6919,96867.4,10.6919,55181.1,10.6902,17961.2
10.6927,289775,10.6854,98706.7,10.6854,55407.2,10.6837,19574.8
10.6862,287541,10.6789,97483,10.6789,54126.8,10.6772,19338.5
10.6797,288093,10.6723,99645.7,10.6723,54039.4,10.6707,17585.1
10.6732,286625,10.6658,98032.3,10.6658,55206.3,10.6642,19241.8
10.6667,285558,10.6593,97119.5,10.6593,55244.2,10.6577,19256.2
10.6601,286842,10.6528,94745.9,10.6528,52160.5,10.6512,17998.3
10.6536,286093,10.6463,98147.8,10.6463,52821.4,10.6447,18415.2
10.6471,284923,10.6398,96554.1,10.6398,54198.2,10.6382,19154.7
10.6406,286492,10.6333,98407.2,10.6333,54446.5,10.6317,18624.1
10.6341,283836,10.6268,97331.3,10.6268,53313.6,10.6252,20012.5
10.6276,284834,10.6203,98484.4,10.6203,52487.5,10.6187,18083.1
10.6211,282954,10.6138,95900.1,10.6138,52594.9,10.6122,17909.6
10.6146,283358,10.6073,96289.1,10.6073,53804.6,10.6056,18700.4
10.6081,282615,10.6008,95237.1,10.6008,54950.2,10.5991,17146.9
10.6016,283034,10.5943,95458.9,10.5943,52658.2,10.5926,18463.9
10.5951,284223,10.5878,95934.6,10.5878,52479.4,10.5861,16559.4
10.5886,282693,10.5812,94437,10.5812,51499.9,10.5796,17131
10.5821,281442,10.5747,94969.4,10.5747,52019.7,10.5731,16434.2
10.5756,282203,10.5682,95265.1,10.5682,53400.9,10.5666,16702.8
10.569,281260,10.5617,96937.4,10.5617,52164.9,10.5601,17417.8
10.5625,282076,10.5552,94131.9,10.5552,52179.5,10.5536,18080.6
10.556,282008,10.5487,95640,10.5487,51202.2,10.5471,17795.7
10.5495,280914,10.5422,95102.6,10.5422,51906,10.5406,17652
10.543,280780,10.5357,93973.6,10.5357,50510,10.5341,18123.2
10.5365,279833,10.5292,94362.1,10.5292,52366.7,10.5276,17959.7
10.53,279526,10.5227,95908.1,10.5227,53651.4,10.5211,15638.8
10.5235,277403,10.5162,93834.4,10.5162,51865.2,10.5146,16278.5
10.517,278513,10.5097,95389.3,10.5097,53926.6,10.508,18676.5
10.5105,278491,10.5032,93791.8,10.5032,52377.8,10.5015,18011.9
10.504,277247,10.4967,94849.2,10.4967,52005.2,10.495,16734.5
10.4975,277338,10.4902,93702.1,10.4902,49677,10.4885,16465.6
10.491,277627,10.4836,92908.8,10.4836,52137.5,10.482,17075.2
10.4845,275602,10.4771,93883.5,10.4771,51393.9,10.4755,18535.1
10.478,277971,10.4706,94492.9,10.4706,51881.8,10.469,15758.3
10.4714,275700,10.4641,92451.7,10.4641,52210.5,10.4625,17188.2
10.4649,275357,10.4576,93920.3,10.4576,53899,10.456,15375.3
10.4584,274795,10.4511,92935.2,10.4511,49817.4,10.4495,15905.1
10.4519,276524,10.4446,92634.7,10.4446,50522.2,10.443,17227.2
10.4454,274988,10.4381,91796.6,10.4381,50394.3,10.4365,17465.3
10.4389,276922,10.4316,92793.9,10.4316,50453.5,10.43,16885.6
10.4324,277273,10.4251,92007.1,10.4251,51030.9,10.4235,15050.9
10.4259,274193,10.4186,92076,10.4186,49931.3,10.417,16360.4
10.4194,273213,10.4121,92292.5,10.4121,50067.7,10.4104,16078.2
